id,name,type,description,source
RA030,Dendritic_Spine_Remodeling,Research_area,"Activity-dependent changes in the size, shape, and number of dendritic spines that alter synaptic strength and provide a structural correlate of plasticity.",v1
RA031,Axonal_Sprouting_and_Pruning,Research_area,"The growth of new axonal branches and elimination of redundant projections during development and in response to learning, reshaping circuit connectivity.",v1
RA032,Gamma_Oscillations,Research_area,"Synchronised oscillations in the 30–80 Hz range arising from interneuron-pyramidal cell interactions, implicated in local computation and inter-area binding.",v1
RA033,Theta_Rhythms,Research_area,"Oscillations in the 4–12 Hz range prominent in hippocampus and entorhinal cortex during active exploration, organising sequential neural activity and spatial coding.",v1
RA034,Sleep_Oscillations,Research_area,"The stereotyped sequence of slow oscillations, sleep spindles, and sharp-wave ripples during non-REM sleep, supporting memory consolidation through hippocampal-cortical dialogue.",v1
RA035,Cortical_Lamination,Research_area,"The organisation of neocortex into six layers with distinct cell types, connectivity profiles, and input-output relationships defining canonical cortical circuits.",v1
RA036,Topographic_Mapping,Research_area,"The systematic spatial correspondence between the arrangement of neurons in cortical areas and the spatial or feature organisation of their inputs.",v1
RA037,Cortical_Columns,Research_area,"Vertical modules of neurons sharing similar response properties, arising from common thalamic input and local intracortical circuitry, observed across sensory and motor areas.",v1
RA038,GABAergic_Interneuron_Diversity,Research_area,"The multiple morphological and electrophysiological classes of cortical inhibitory interneurons — including parvalbumin, somatostatin, and VIP subtypes — with distinct circuit roles.",v1
RA039,Feedforward_Inhibition,Research_area,"Inhibitory postsynaptic potentials evoked by the same afferent pathway that drives excitation, restricting the temporal window for integration and limiting polysynaptic spread.",v1
RA040,Feedback_Inhibition,Research_area,"Inhibition driven by the output of a local excitatory neuron onto itself or its neighbours via interneurons, implementing gain control and preventing runaway excitation.",v1
RA041,AMPA_Receptor_Dynamics,Research_area,"The rapid kinetics and regulated surface trafficking of AMPA receptors at the postsynaptic density, which determine the amplitude and expression of synaptic plasticity.",v1
RA042,NMDA_Receptor_Function,Research_area,"The voltage- and ligand-gated properties of NMDA receptors that detect coincident pre- and postsynaptic activity, serving as a molecular coincidence detector for plasticity induction.",v1
RA043,GABA_Receptor_Subtypes,Research_area,"The pharmacological and biophysical diversity of GABA-A and GABA-B receptors, determining the kinetics and spatial spread of inhibitory postsynaptic currents.",v1
RA044,Chloride_Homeostasis,Research_area,"The regulation of intracellular chloride concentration by KCC2 and NKCC1 co-transporters, which sets the reversal potential of GABA-A mediated currents and determines whether GABA is inhibitory or excitatory.",v1
RA045,Dopaminergic_Pathways,Research_area,"The mesolimbic, mesocortical, and nigrostriatal dopaminergic projections from ventral tegmental area and substantia nigra, modulating striatal and prefrontal circuit function.",v1
RA046,Serotonergic_Circuits,Research_area,"Projections from raphe nuclei to virtually all brain regions, modulating arousal, mood, and sensory gain through G-protein-coupled serotonin receptors.",v1
RA047,Cholinergic_Modulation,Research_area,"Basal forebrain and brainstem cholinergic projections that enhance cortical signal-to-noise ratio and regulate arousal state through muscarinic and nicotinic receptor activation.",v1
D001,Synaptic_Strength,Dimension,"The amplitude of the postsynaptic potential produced by a single presynaptic action potential, determined by vesicle release probability and receptor number and conductance.",v1
D002,Conduction_Velocity,Dimension,"The speed at which action potentials propagate along an axon, determined by axon diameter and degree of myelination.",v1
D003,Excitation_Inhibition_Balance,Dimension,"The ratio of excitatory to inhibitory synaptic drive impinging on a neuron or local network, which sets the operating point for information processing and neural gain.",v1
D004,Receptor_Sensitivity,Dimension,"The magnitude of postsynaptic current per unit of neurotransmitter concentration, determined by receptor density, subunit composition, and state-dependent modulation.",v1
D005,Neural_Gain,Dimension,"The steepness of the input-output transfer function relating injected current to firing rate, which determines how sharply a neuron responds to changes in input strength.",v1
D006,Oscillation_Frequency,Dimension,"The dominant frequency of synchronised neural population activity in a given circuit, shaped by interneuron time constants and conduction delays.",v1
D007,Myelination_Density,Dimension,"The degree of axonal myelination across a fibre tract, which determines conduction velocity and metabolic efficiency of long-range signalling.",v1
D008,Plasticity_Threshold,Dimension,"The minimum level of correlated synaptic co-activation required to trigger long-term potentiation, set by postsynaptic calcium dynamics and kinase activity.",v1
D009,Release_Probability,Dimension,"The probability that a presynaptic action potential triggers vesicle fusion at a given synapse, a major determinant of short-term synaptic dynamics.",v1
D010,Spontaneous_Firing_Rate,Dimension,"The baseline discharge rate of a neuron in the absence of specific input, reflecting tonic excitatory drive and intrinsic membrane properties.",v1
T001,Hodgkin_Huxley_Model,Theory,"A conductance-based mathematical model describing action potential generation in terms of voltage-dependent sodium and potassium channel kinetics, derived from squid giant axon recordings.",v1
T002,Hebbian_Learning_Rule,Theory,"The principle that synaptic strength increases when a presynaptic neuron persistently and repeatedly contributes to the firing of a postsynaptic neuron, providing a cellular basis for associative learning.",v1
T003,Rate_Coding,Theory,"The hypothesis that neurons encode information primarily in their mean firing rate, with stimulus identity or intensity represented by the average number of spikes per unit time.",v1
T004,Temporal_Coding,Theory,"The hypothesis that information is encoded in the precise timing of individual spikes or patterns of spike timing relative to a reference signal such as an oscillation.",v1
T005,Binding_by_Synchrony,Theory,"The proposal that features of a perceptual object encoded in spatially distributed neurons are bound into a unified representation through synchronised gamma-band oscillations.",v1
T006,Critical_Period_Theory,Theory,"The framework describing developmental windows of heightened synaptic plasticity during which sensory experience shapes cortical circuits, after which modification requires greater perturbation.",v1
T007,Population_Vector_Theory,Theory,"The theory that motor cortex encodes intended movement direction as the vector sum of preferred-direction vectors weighted by the firing rate of each participating neuron.",v1
T008,Lateral_Inhibition,Theory,"The principle that activation of a neuron suppresses its neighbours via inhibitory interneurons, sharpening spatial tuning, enhancing contrast, and preventing activity spread.",v1
T009,Three_Factor_Learning_Rule,Theory,"An extension of Hebbian plasticity in which synaptic modification requires a third neuromodulatory signal — such as dopamine or acetylcholine — in addition to correlated pre- and postsynaptic activity.",v1
T010,Predictive_Coding,Theory,"The theory that the brain generates hierarchical predictions about sensory input and transmits only precision-weighted prediction errors upward, minimising redundant signalling.",v1
RA048,Cortical_Remyelination,Research_area,"The restoration of myelin sheaths to previously demyelinated axons through the differentiation and maturation of oligodendrocyte precursor cells.",v1
D011,Firing_Rate_Variability,Dimension,"The trial-to-trial variability in neuronal spike count for repeated identical stimuli, reflecting intrinsic stochasticity and network-level fluctuations.",v1
